frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,0.000000,0.000000,0.000000,50,50,0.000167
1,0.033333,-0.080436,0.080436,0.257396,50,50,0.193711
2,0.066667,-0.593908,0.593908,1.900504,50,50,0.374434
3,0.100000,-0.060532,0.060532,0.193701,49,49,0.128564
4,0.133333,0.021363,0.021363,0.068361,49,49,0.136874
5,0.166667,0.125901,0.125901,0.402882,49,49,0.117490
6,0.200000,0.408353,0.408353,1.306729,49,49,0.099859
7,0.233333,0.355016,0.355016,1.136051,49,49,0.129142
8,0.266667,0.173565,0.173565,0.555407,49,49,0.095770
9,0.300000,0.155938,0.155938,0.499003,49,49,0.217165
10,0.333333,0.596458,0.596458,1.908665,48,48,0.126412
11,0.366667,2.215131,2.215131,7.088420,48,48,3.117083
12,0.400000,0.907994,0.907994,2.905580,45,45,0.282890
13,0.433333,0.082884,0.082884,0.265228,43,43,0.129077
14,0.466667,-0.330081,0.330081,1.056261,42,42,0.074803
15,0.500000,-0.300279,0.300279,0.960893,42,42,0.157963
16,0.533333,0.096245,0.096245,0.307984,41,41,0.161481
17,0.566667,0.324991,0.324991,1.039972,41,41,0.126369
18,0.600000,-0.053187,0.053187,0.170198,41,41,0.118827
19,0.633333,-0.109042,0.109042,0.348933,41,41,0.067550
20,0.666667,0.104504,0.104504,0.334413,41,41,0.079941
21,0.700000,0.466532,0.466532,1.492902,41,41,0.070777
22,0.733333,0.736845,0.736845,2.357905,41,41,0.097669
23,0.766667,0.741337,0.741337,2.372278,41,41,0.099801
24,0.800000,0.976147,0.976147,3.123670,40,40,1.964191
25,0.833333,-0.072910,0.072910,0.233311,39,39,0.132701
26,0.866667,-0.380368,0.380368,1.217179,38,38,0.087949
27,0.900000,-0.737560,0.737560,2.360191,50,48,0.324853
28,0.933333,-0.943745,0.943745,3.019983,45,45,0.513722
29,0.966667,-1.037430,1.037430,3.319777,35,35,1.431852
30,1.000000,-0.972825,0.972825,3.113041,35,35,0.526503
31,1.033333,-0.402119,0.402119,1.286782,50,48,0.397807
32,1.066667,-0.369719,0.369719,1.183101,45,45,0.516648
33,1.100000,-0.451096,0.451096,1.443507,43,43,0.952211
34,1.133333,-0.422874,0.422874,1.353197,41,41,0.688806
35,1.166667,-0.236537,0.236537,0.756917,40,40,3.591155
36,1.200000,-0.124763,0.124763,0.399241,36,36,0.318437
37,1.233333,-0.254780,0.254780,0.815295,30,30,0.243324
38,1.266667,-0.610881,0.610881,1.954819,50,50,0.396800
39,1.300000,-0.503692,0.503692,1.611816,47,47,0.318532
40,1.333333,-0.432580,0.432580,1.384257,46,46,0.685576
41,1.366667,-0.233841,0.233841,0.748292,45,45,0.268227
42,1.400000,0.014336,0.014336,0.045875,44,44,0.199174
43,1.433333,-0.076909,0.076909,0.246108,44,44,0.646453
44,1.466667,-0.665044,0.665044,2.128141,41,41,0.640793
45,1.500000,-0.771855,0.771855,2.469937,39,39,0.761156
46,1.533333,-0.741884,0.741884,2.374029,36,36,0.395295
47,1.566667,-0.310250,0.310250,0.992800,50,50,0.176553
48,1.600000,-0.036093,0.036093,0.115497,47,47,0.144446
49,1.633333,0.153451,0.153451,0.491043,47,47,0.215777
50,1.666667,-0.021016,0.021016,0.067252,47,47,0.207362
51,1.700000,-0.173572,0.173572,0.555432,46,46,0.238958
52,1.733333,-0.339965,0.339965,1.087888,43,43,0.280192
53,1.766667,-0.623991,0.623991,1.996770,32,32,0.531656
54,1.800000,-0.003048,0.003048,0.009753,30,30,0.179792
55,1.833333,0.023452,0.023452,0.075046,50,50,0.168577
56,1.866667,-0.004708,0.004708,0.015067,48,48,0.119350
57,1.900000,0.355720,0.355720,1.138305,47,47,0.288249
58,1.933333,0.577185,0.577185,1.846992,46,46,0.297150
59,1.966667,0.337425,0.337425,1.079759,46,46,0.348114
60,2.000000,-0.043473,0.043473,0.139115,45,45,0.177803
61,2.033333,-0.125742,0.125742,0.402374,30,30,0.215169
62,2.066667,0.110280,0.110280,0.352896,36,36,0.144847
63,2.100000,-0.163418,0.163418,0.522936,50,50,0.181494
64,2.133333,-0.411124,0.411124,1.315597,48,48,0.223936
65,2.166667,-0.528359,0.528359,1.690749,41,41,0.239385
66,2.200000,-0.401074,0.401074,1.283437,39,39,0.242876
67,2.233333,-0.144124,0.144124,0.461198,38,38,0.131179
68,2.266667,0.113834,0.113834,0.364269,50,49,0.181882
69,2.300000,-0.054945,0.054945,0.175824,47,47,0.386764
70,2.333333,-0.026264,0.026264,0.084045,47,47,0.544500
71,2.366667,-0.008358,0.008358,0.026744,46,46,0.569084
72,2.400000,0.046391,0.046391,0.148452,46,46,2.386317
73,2.433333,-0.199837,0.199837,0.639480,35,35,0.611724
74,2.466667,-0.089114,0.089114,0.285163,30,30,0.368989
75,2.500000,0.148091,0.148091,0.473892,50,50,0.150381
76,2.533333,0.504772,0.504772,1.615269,50,50,0.116828
77,2.566667,0.722071,0.722071,2.310627,48,48,0.320079
78,2.600000,0.624855,0.624855,1.999537,46,46,0.262178
79,2.633333,0.216620,0.216620,0.693184,43,43,0.314388
80,2.666667,0.102400,0.102400,0.327681,40,40,0.251521
81,2.700000,0.015292,0.015292,0.048933,38,38,0.294371
82,2.733333,-0.034158,0.034158,0.109307,38,38,0.257173
83,2.766667,0.231542,0.231542,0.740933,50,49,1.508592
84,2.800000,0.290555,0.290555,0.929777,47,45,0.299692
85,2.833333,0.105346,0.105346,0.337107,46,45,0.372983
86,2.866667,-0.186145,0.186145,0.595663,45,44,0.411907
87,2.900000,-0.183897,0.183897,0.588470,43,42,0.395232
88,2.933333,-0.321260,0.321260,1.028033,42,41,0.577343
89,2.966667,-0.266533,0.266533,0.852905,41,40,0.424846
90,3.000000,-0.094912,0.094912,0.303717,39,38,0.302872
91,3.033333,-0.028186,0.028186,0.090196,49,49,0.273323
92,3.066667,0.048934,0.048934,0.156589,49,49,0.273876
93,3.100000,0.055298,0.055298,0.176955,49,49,0.190893
94,3.133333,-0.191099,0.191099,0.611516,49,49,0.178045
95,3.166667,-0.273086,0.273086,0.873874,48,48,0.185216
96,3.200000,0.234153,0.234153,0.749289,48,48,0.202767
97,3.233333,0.138231,0.138231,0.442339,48,48,0.199707
98,3.266667,0.056377,0.056377,0.180406,48,48,0.043467
99,3.300000,-0.083695,0.083695,0.267823,48,48,0.106292
100,3.333333,-0.275605,0.275605,0.881937,48,48,0.152174
101,3.366667,-0.080924,0.080924,0.258957,48,48,0.165664
102,3.400000,0.121782,0.121782,0.389703,48,48,0.163557
103,3.433333,0.259327,0.259327,0.829847,47,47,0.290592
104,3.466667,-0.231613,0.231613,0.741160,47,47,0.132970
105,3.500000,-0.350450,0.350450,1.121441,47,47,0.107571
106,3.533333,-0.376720,0.376720,1.205504,47,47,0.126963
107,3.566667,-0.285384,0.285384,0.913228,47,47,0.149069
108,3.600000,-0.351202,0.351202,1.123847,47,47,0.300259
109,3.633333,-0.556464,0.556464,1.780684,47,47,0.265688
110,3.666667,-0.253725,0.253725,0.811919,46,46,0.706328
111,3.700000,-0.065695,0.065695,0.210225,44,44,0.214394
112,3.733333,-0.443352,0.443352,1.418725,42,42,1.410249
113,3.766667,-0.436733,0.436733,1.397547,39,39,0.208116
114,3.800000,-0.282597,0.282597,0.904310,38,38,0.438384
115,3.833333,-0.282513,0.282513,0.904042,50,50,0.355236
116,3.866667,-0.451685,0.451685,1.445393,46,46,0.353909
117,3.900000,-0.409744,0.409744,1.311181,45,45,0.394329
118,3.933333,-0.528803,0.528803,1.692170,45,45,0.424946
119,3.966667,-0.619060,0.619060,1.980993,45,45,0.446355
120,4.000000,-0.457643,0.457643,1.464458,43,43,0.494495
121,4.033333,-0.919153,0.919153,2.941288,42,42,3.721829
122,4.066667,-0.096763,0.096763,0.309640,38,37,0.238132
123,4.100000,-0.080797,0.080797,0.258551,37,36,0.329957
124,4.133333,-0.042401,0.042401,0.135685,50,50,0.183796
125,4.166667,-0.016424,0.016424,0.052558,50,50,0.208872
126,4.200000,0.111564,0.111564,0.357004,50,50,0.238886
127,4.233333,0.068325,0.068325,0.218641,49,49,0.175498
128,4.266667,0.077967,0.077967,0.249494,48,48,0.137718
129,4.300000,-0.150429,0.150429,0.481373,47,47,0.082556
130,4.333333,-0.387474,0.387474,1.239918,47,47,0.163457
131,4.366667,-0.955158,0.955158,3.056507,45,45,1.740237
132,4.400000,-0.050216,0.050216,0.160690,44,42,0.128940
133,4.433333,0.087027,0.087027,0.278488,43,42,0.076917
134,4.466667,-0.080509,0.080509,0.257629,43,42,0.138914
135,4.500000,-0.111363,0.111363,0.356361,42,42,0.094741
136,4.533333,-0.135257,0.135257,0.432824,41,41,0.078024
137,4.566667,-0.145822,0.145822,0.466631,41,41,0.112881
138,4.600000,-0.172906,0.172906,0.553300,40,40,0.117451
139,4.633333,-0.180436,0.180436,0.577397,39,39,0.139936
140,4.666667,-0.067580,0.067580,0.216257,39,39,0.143247
141,4.700000,-0.011088,0.011088,0.035482,50,50,0.093605
142,4.733333,0.068277,0.068277,0.218485,50,50,0.097967
143,4.766667,0.616692,0.616692,1.973414,50,50,0.124410
144,4.800000,0.500328,0.500328,1.601048,50,50,0.113428
145,4.833333,0.516155,0.516155,1.651695,50,50,0.198353
146,4.866667,0.332330,0.332330,1.063455,50,50,0.111812
147,4.900000,0.203912,0.203912,0.652519,50,50,0.104812
148,4.933333,0.044624,0.044624,0.142796,50,49,0.069286
149,4.966667,0.036966,0.036966,0.118292,50,49,0.037941
150,5.000000,-0.044231,0.044231,0.141538,50,48,0.081897
151,5.033333,-0.175119,0.175119,0.560381,50,49,0.073203
152,5.066667,-0.132692,0.132692,0.424613,49,49,0.071696
153,5.100000,0.073294,0.073294,0.234542,49,49,0.064588
154,5.133333,0.578068,0.578068,1.849819,49,49,0.229660
155,5.166667,0.261801,0.261801,0.837764,49,49,0.125313
156,5.200000,0.194009,0.194009,0.620827,49,49,0.101384
157,5.233333,0.050318,0.050318,0.161018,49,49,0.064731
158,5.266667,-0.321971,0.321971,1.030308,49,49,0.119719
159,5.300000,-0.541232,0.541232,1.731943,49,49,0.162321
160,5.333333,-0.553033,0.553033,1.769704,49,49,0.210569
161,5.366667,-0.146757,0.146757,0.469623,49,49,0.180598
162,5.400000,-0.068287,0.068287,0.218520,49,49,0.220494
163,5.433333,-0.259820,0.259820,0.831424,49,49,0.166406
164,5.466667,-0.382608,0.382608,1.224347,49,49,0.149969
165,5.500000,-0.256225,0.256225,0.819919,49,49,0.103239
166,5.533333,-0.167929,0.167929,0.537374,49,46,0.098412
167,5.566667,-0.235779,0.235779,0.754494,49,46,0.150641
168,5.600000,-0.397072,0.397072,1.270631,49,46,0.166232
169,5.633333,-0.350073,0.350073,1.120233,49,46,0.187721
170,5.666667,-0.335153,0.335153,1.072489,49,49,0.292851
171,5.700000,-0.821990,0.821990,2.630367,49,49,0.514061
172,5.733333,-0.706882,0.706882,2.262024,49,47,0.370824
173,5.766667,-0.537504,0.537504,1.720014,49,45,0.230148
174,5.800000,-0.376991,0.376991,1.206370,45,40,0.187728
175,5.833333,-0.025161,0.025161,0.080514,43,36,0.203326
176,5.866667,-0.008934,0.008934,0.028589,41,33,0.260914
177,5.900000,-0.313113,0.313113,1.001961,39,31,0.223101
178,5.933333,-0.356358,0.356358,1.140347,37,29,0.129026
179,5.966667,-0.368509,0.368509,1.179227,47,47,0.752882
180,6.000000,-1.035814,1.035814,3.314606,47,47,0.371690
181,6.033333,-0.368564,0.368564,1.179405,50,50,0.123590
182,6.066667,-0.194549,0.194549,0.622558,50,50,0.077293
183,6.100000,-0.201505,0.201505,0.644815,50,50,0.075553
184,6.133333,-0.227560,0.227560,0.728191,50,50,0.064213
185,6.166667,-0.157519,0.157519,0.504060,50,50,0.045393
186,6.200000,-0.193801,0.193801,0.620162,50,50,0.045374
187,6.233333,-0.178736,0.178736,0.571956,50,50,0.159808
188,6.266667,-0.122914,0.122914,0.393323,50,50,0.053508
189,6.300000,-0.080521,0.080521,0.257668,49,49,0.047948
190,6.333333,-0.062221,0.062221,0.199106,49,49,0.030571
191,6.366667,-0.134491,0.134491,0.430372,49,49,0.043186
192,6.400000,-0.053740,0.053740,0.171969,49,49,0.043774
193,6.433333,-0.085929,0.085929,0.274974,49,49,0.056925
194,6.466667,-0.004602,0.004602,0.014725,49,49,0.024918
195,6.500000,0.041899,0.041899,0.134077,48,48,0.047991
196,6.533333,0.036784,0.036784,0.117710,48,48,0.051665
197,6.566667,0.052138,0.052138,0.166840,48,48,0.033965
198,6.600000,0.029893,0.029893,0.095658,47,47,0.023355
199,6.633333,-0.010706,0.010706,0.034260,47,47,0.021337
200,6.666667,-0.114266,0.114266,0.365652,47,47,0.044425
201,6.700000,0.017141,0.017141,0.054850,47,47,0.033300
202,6.733333,0.056836,0.056836,0.181875,47,47,0.042180
203,6.766667,0.009356,0.009356,0.029938,47,47,0.021838
204,6.800000,0.237381,0.237381,0.759619,45,45,0.047622
205,6.833333,0.061825,0.061825,0.197841,45,45,0.047137
206,6.866667,-0.081551,0.081551,0.260963,45,45,0.031945
207,6.900000,-0.160901,0.160901,0.514883,45,45,0.095152
208,6.933333,-0.229607,0.229607,0.734744,45,45,0.066446
209,6.966667,-0.249009,0.249009,0.796830,45,45,0.052821
210,7.000000,-0.012003,0.012003,0.038408,45,45,0.020008
211,7.033333,0.044376,0.044376,0.142004,40,40,0.059967
212,7.066667,-0.036901,0.036901,0.118082,38,38,0.047565
213,7.100000,0.010253,0.010253,0.032810,37,37,0.027966
214,7.133333,-0.078870,0.078870,0.252382,47,47,0.087863
215,7.166667,-0.265563,0.265563,0.849803,46,46,0.079915
216,7.200000,-0.369137,0.369137,1.181238,46,46,0.129129
217,7.233333,-0.448985,0.448985,1.436751,46,46,0.409032
218,7.266667,-0.226455,0.226455,0.724655,46,46,0.114365
219,7.300000,-0.021453,0.021453,0.068649,45,45,0.044537
220,7.333333,0.075661,0.075661,0.242114,44,44,0.050534
221,7.366667,0.095721,0.095721,0.306306,44,44,0.078153
222,7.400000,-0.050821,0.050821,0.162628,44,44,0.043475
223,7.433333,-0.043182,0.043182,0.138184,44,44,0.057532
224,7.466667,-0.035194,0.035194,0.112621,42,42,0.035091
225,7.500000,-0.034847,0.034847,0.111511,42,42,0.031418
226,7.533333,0.091730,0.091730,0.293535,42,42,0.055932
227,7.566667,0.185298,0.185298,0.592955,42,42,0.090411
228,7.600000,0.241403,0.241403,0.772489,42,42,0.085502
