frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,-0.383142,0.383142,1.226054,32,32,0.205055
1,0.033333,-0.240204,0.240204,0.768654,46,46,0.174652
2,0.066667,-0.223698,0.223698,0.715833,31,31,0.107036
3,0.100000,-0.288327,0.288327,0.922646,28,28,0.168705
4,0.133333,-0.463580,0.463580,1.483456,46,46,0.138802
5,0.166667,-1.425501,1.425501,4.561604,30,30,0.255384
6,0.200000,-0.805190,0.805190,2.576608,20,20,0.156138
7,0.233333,-0.450693,0.450693,1.442216,45,45,0.180928
8,0.266667,-0.427870,0.427870,1.369185,31,31,0.268150
9,0.300000,-0.704049,0.704049,2.252957,24,24,0.615769
10,0.333333,-0.783286,0.783286,2.506516,38,38,0.187497
11,0.366667,-0.710205,0.710205,2.272658,22,22,0.304156
12,0.400000,-0.199805,0.199805,0.639375,44,44,2.047567
13,0.433333,-0.490225,0.490225,1.568719,21,21,5.555546
14,0.466667,-0.693792,0.693792,2.220134,15,15,4.925514
15,0.500000,-0.487862,0.487862,1.561157,31,31,0.383185
16,0.533333,-0.050467,0.050467,0.161493,24,24,0.189220
17,0.566667,-0.743401,0.743401,2.378883,42,42,0.297931
18,0.600000,-0.581917,0.581917,1.862134,23,23,0.191927
19,0.633333,-0.473431,0.473431,1.514980,20,20,0.354939
20,0.666667,-1.071110,1.071110,3.427553,41,41,0.171773
21,0.700000,-0.085557,0.085557,0.273783,25,25,0.305206
22,0.733333,0.437194,0.437194,1.399022,17,17,0.316516
23,0.766667,0.330593,0.330593,1.057897,40,40,0.276052
24,0.800000,0.024892,0.024892,0.079653,36,36,0.071934
25,0.833333,0.269802,0.269802,0.863368,33,33,0.147901
26,0.866667,0.266287,0.266287,0.852119,44,44,0.144034
27,0.900000,-0.383193,0.383193,1.226218,40,40,0.172537
28,0.933333,-0.023777,0.023777,0.076085,35,35,0.062283
29,0.966667,0.025102,0.025102,0.080328,32,32,0.123686
30,1.000000,-0.113118,0.113118,0.361977,49,47,0.166087
31,1.033333,-0.323225,0.323225,1.034320,49,48,0.132360
32,1.066667,0.037179,0.037179,0.118971,43,43,0.160954
33,1.100000,0.091620,0.091620,0.293183,39,39,0.223163
34,1.133333,-0.146814,0.146814,0.469804,35,35,0.190817
35,1.166667,-0.408920,0.408920,1.308544,50,50,0.195684
36,1.200000,-0.783530,0.783530,2.507295,36,36,0.553874
37,1.233333,-0.786188,0.786188,2.515802,24,24,0.291529
38,1.266667,-0.343945,0.343945,1.100622,40,40,0.559853
39,1.300000,0.041117,0.041117,0.131573,27,27,0.414068
40,1.333333,-0.038063,0.038063,0.121802,17,17,0.246323
41,1.366667,0.004902,0.004902,0.015686,46,46,0.089266
42,1.400000,0.044463,0.044463,0.142280,28,28,0.075754
43,1.433333,0.369779,0.369779,1.183294,28,28,0.221122
44,1.466667,-0.001646,0.001646,0.005268,46,46,0.229104
45,1.500000,0.007107,0.007107,0.022742,36,36,0.187419
46,1.533333,0.162745,0.162745,0.520783,29,29,0.101398
47,1.566667,0.025311,0.025311,0.080997,44,44,0.092975
48,1.600000,0.039162,0.039162,0.125319,38,38,0.284281
49,1.633333,0.121512,0.121512,0.388839,27,27,0.203091
50,1.666667,0.033410,0.033410,0.106912,50,50,0.086427
51,1.700000,-0.013798,0.013798,0.044153,43,43,0.053958
52,1.733333,-0.381098,0.381098,1.219515,40,40,0.131181
53,1.766667,0.029806,0.029806,0.095378,31,31,0.134183
54,1.800000,-0.032180,0.032180,0.102975,25,25,0.122917
55,1.833333,-0.689947,0.689947,2.207830,48,48,0.286532
56,1.866667,-0.624181,0.624181,1.997380,29,29,0.260128
57,1.900000,-0.264695,0.264695,0.847024,24,24,0.204992
58,1.933333,-0.245672,0.245672,0.786150,45,45,0.297065
59,1.966667,-0.526716,0.526716,1.685490,26,26,1.131572
60,2.000000,-0.588501,0.588501,1.883204,12,12,2.608588
61,2.033333,-1.154780,1.154780,3.695295,44,44,0.240856
62,2.066667,-0.872739,0.872739,2.792765,22,22,0.139999
63,2.100000,-0.472678,0.472678,1.512571,12,12,0.118094
64,2.133333,-0.910262,0.910262,2.912838,42,42,0.578213
65,2.166667,-0.958669,0.958669,3.067742,32,32,8.543794
66,2.200000,-0.595583,0.595583,1.905867,19,19,0.467580
67,2.233333,-0.681617,0.681617,2.181174,35,35,0.604732
68,2.266667,-0.886635,0.886635,2.837234,19,19,1.291314
69,2.300000,-0.747144,0.747144,2.390862,45,45,0.172343
70,2.333333,-0.564833,0.564833,1.807466,37,37,0.172004
71,2.366667,-0.409537,0.409537,1.310520,30,30,0.280281
72,2.400000,-0.637133,0.637133,2.038826,48,48,0.288922
73,2.433333,-1.189514,1.189514,3.806444,36,36,0.580960
74,2.466667,-1.700281,1.700281,5.440898,27,27,2.050450
75,2.500000,-1.879863,1.879863,6.015560,37,37,0.739132
76,2.533333,-3.537761,3.537761,11.320835,21,21,9.796383
77,2.566667,-2.181594,2.181594,6.981102,34,34,2.024257
78,2.600000,-1.309688,1.309688,4.191002,20,20,2.707583
79,2.633333,-1.953764,1.953764,6.252046,24,24,0.685463
80,2.666667,-1.213723,1.213723,3.883914,14,14,0.960768
81,2.700000,-0.907909,0.907909,2.905310,31,31,0.441205
82,2.733333,-0.818154,0.818154,2.618094,23,23,0.176561
83,2.766667,-0.595033,0.595033,1.904104,31,31,1.843886
84,2.800000,-0.387212,0.387212,1.239079,18,18,0.231065
85,2.833333,-0.327920,0.327920,1.049345,28,28,0.306191
86,2.866667,-0.855206,0.855206,2.736658,16,16,0.465193
87,2.900000,-0.327360,0.327360,1.047552,29,29,0.229811
88,2.933333,-0.483796,0.483796,1.548148,11,11,0.118390
89,2.966667,-0.047288,0.047288,0.151321,38,38,0.252515
90,3.000000,-0.099276,0.099276,0.317684,20,20,0.150629
91,3.033333,-0.240867,0.240867,0.770775,29,29,0.201998
92,3.066667,-0.113763,0.113763,0.364040,16,16,0.090807
93,3.100000,0.015266,0.015266,0.048851,29,29,0.192141
94,3.133333,-0.000009,0.000009,0.000030,24,24,0.064868
95,3.166667,0.577517,0.577517,1.848056,40,40,0.297017
96,3.200000,0.071265,0.071265,0.228048,25,25,0.085778
97,3.233333,-0.014992,0.014992,0.047974,21,21,0.059853
98,3.266667,0.109332,0.109332,0.349862,38,38,0.116002
99,3.300000,0.109370,0.109370,0.349984,27,27,0.152868
100,3.333333,0.031833,0.031833,0.101865,40,40,0.135642
101,3.366667,0.181294,0.181294,0.580140,26,26,0.128580
102,3.400000,0.129115,0.129115,0.413169,24,24,0.098871
103,3.433333,0.199848,0.199848,0.639514,45,45,0.195227
104,3.466667,0.131272,0.131272,0.420069,36,36,0.109045
105,3.500000,-0.021541,0.021541,0.068930,32,32,0.105620
106,3.533333,0.042177,0.042177,0.134967,44,44,0.066929
107,3.566667,0.048693,0.048693,0.155819,29,29,0.153707
108,3.600000,0.157238,0.157238,0.503162,27,27,0.056334
109,3.633333,0.006426,0.006426,0.020565,40,40,0.098425
110,3.666667,0.040870,0.040870,0.130785,32,32,0.052138
111,3.700000,0.028634,0.028634,0.091630,27,27,0.097833
112,3.733333,0.034744,0.034744,0.111180,46,46,0.062204
113,3.766667,-0.000199,0.000199,0.000638,33,33,0.035373
114,3.800000,0.020451,0.020451,0.065442,30,30,0.030594
115,3.833333,0.001765,0.001765,0.005649,38,38,0.019462
116,3.866667,-0.081035,0.081035,0.259312,32,32,0.055044
117,3.900000,-0.023460,0.023460,0.075073,38,38,0.036660
118,3.933333,0.001676,0.001676,0.005363,33,33,0.055995
119,3.966667,0.010601,0.010601,0.033923,44,44,0.056224
120,4.000000,-0.073087,0.073087,0.233880,42,42,0.118211
121,4.033333,-0.004664,0.004664,0.014925,42,42,0.011840
122,4.066667,-0.004731,0.004731,0.015138,35,35,0.024222
123,4.100000,-0.036047,0.036047,0.115351,32,32,0.027119
124,4.133333,-0.043687,0.043687,0.139800,43,43,0.069039
125,4.166667,-0.014018,0.014018,0.044857,32,32,0.035357
126,4.200000,-0.023561,0.023561,0.075396,30,30,0.022065
127,4.233333,-0.008099,0.008099,0.025918,41,41,0.019222
128,4.266667,-0.012177,0.012177,0.038966,38,38,0.021212
129,4.300000,-0.015044,0.015044,0.048141,28,28,0.015308
130,4.333333,-0.086768,0.086768,0.277656,41,41,0.114585
131,4.366667,-0.029585,0.029585,0.094672,37,37,0.089062
132,4.400000,-0.005169,0.005169,0.016542,33,33,0.065904
133,4.433333,0.000207,0.000207,0.000663,43,43,0.046363
134,4.466667,-0.003908,0.003908,0.012506,37,37,0.078978
135,4.500000,-0.008899,0.008899,0.028478,35,35,0.035596
136,4.533333,-0.017322,0.017322,0.055430,40,40,0.047495
137,4.566667,-0.005236,0.005236,0.016756,30,30,0.044654
138,4.600000,-0.012108,0.012108,0.038745,26,26,0.030220
139,4.633333,-0.032829,0.032829,0.105054,46,46,0.055075
140,4.666667,-0.024341,0.024341,0.077892,33,33,0.063883
141,4.700000,-0.068153,0.068153,0.218089,29,29,0.076415
142,4.733333,-0.102337,0.102337,0.327477,39,39,0.075964
143,4.766667,-0.007927,0.007927,0.025368,32,32,0.038143
144,4.800000,0.034356,0.034356,0.109938,46,46,0.085080
145,4.833333,-0.003091,0.003091,0.009892,41,41,0.069624
146,4.866667,0.138119,0.138119,0.441981,39,39,0.071510
147,4.900000,-0.114852,0.114852,0.367525,36,36,0.103107
148,4.933333,0.051381,0.051381,0.164419,36,36,0.098718
149,4.966667,0.067147,0.067147,0.214870,21,21,0.095226
150,5.000000,0.154036,0.154036,0.492914,36,36,0.107937
151,5.033333,-0.000662,0.000662,0.002118,45,45,0.058313
152,5.066667,-0.005224,0.005224,0.016718,31,31,0.029309
153,5.100000,-0.019614,0.019614,0.062764,25,25,0.061774
154,5.133333,-0.009963,0.009963,0.031881,43,43,0.179583
155,5.166667,0.000773,0.000773,0.002473,28,28,0.017313
156,5.200000,-0.032870,0.032870,0.105185,26,26,0.023572
157,5.233333,-0.019258,0.019258,0.061626,43,43,0.029091
158,5.266667,0.000085,0.000085,0.000271,31,31,0.034155
159,5.300000,0.006737,0.006737,0.021558,26,26,0.022328
160,5.333333,-0.007134,0.007134,0.022828,39,39,0.054042
161,5.366667,0.001914,0.001914,0.006124,22,22,0.022839
162,5.400000,-0.016310,0.016310,0.052193,39,39,0.038641
163,5.433333,-0.014314,0.014314,0.045806,34,34,0.031064
164,5.466667,-0.011450,0.011450,0.036639,44,44,0.039698
165,5.500000,0.001218,0.001218,0.003897,33,33,0.008222
166,5.533333,-0.011705,0.011705,0.037457,31,31,0.031588
167,5.566667,-0.003156,0.003156,0.010100,43,43,0.008087
168,5.600000,-0.014251,0.014251,0.045602,36,36,0.032990
169,5.633333,-0.003629,0.003629,0.011613,29,29,0.058157
170,5.666667,-0.083571,0.083571,0.267426,44,44,0.136346
171,5.700000,-0.313087,0.313087,1.001879,38,38,1.325300
172,5.733333,-8.450151,8.450151,27.040483,17,17,11.643534
173,5.766667,-0.484792,0.484792,1.551336,20,20,1.670301
174,5.800000,0.346555,0.346555,1.108977,5,5,0.515746
175,5.833333,-0.352370,0.352370,1.127584,15,15,0.183784
176,5.866667,-0.369908,0.369908,1.183706,8,8,0.230810
177,5.900000,-2.029120,2.029120,6.493184,7,7,3.486463
178,5.933333,0.000000,0.000000,0.000000,0,0,0.000000
179,5.966667,-0.080122,0.080122,0.256392,3,3,0.103647
180,6.000000,0.000000,0.000000,0.000000,0,0,0.000000
181,6.033333,-0.706020,0.706020,2.259263,9,9,0.054594
182,6.066667,-0.668768,0.668768,2.140059,8,8,0.073439
183,6.100000,-1.003640,1.003640,3.211648,31,31,0.442466
184,6.133333,-1.187091,1.187091,3.798690,20,20,6.657755
185,6.166667,-0.826164,0.826164,2.643725,43,43,0.551433
186,6.200000,-0.559914,0.559914,1.791724,22,22,0.448944
187,6.233333,-0.370510,0.370510,1.185632,21,21,0.482729
188,6.266667,-0.258484,0.258484,0.827149,48,48,0.204324
189,6.300000,-0.405252,0.405252,1.296806,38,38,0.293978
190,6.333333,-0.929917,0.929917,2.975733,34,34,0.393321
191,6.366667,-1.204354,1.204354,3.853931,35,35,0.413823
192,6.400000,-1.403841,1.403841,4.492292,22,22,0.523554
193,6.433333,-0.481697,0.481697,1.541431,34,34,0.521302
194,6.466667,-0.289012,0.289012,0.924840,27,27,0.399876
195,6.500000,-0.269164,0.269164,0.861326,33,33,0.484698
196,6.533333,-1.049892,1.049892,3.359655,30,30,7.820357
197,6.566667,-0.703851,0.703851,2.252324,44,44,0.484304
198,6.600000,-0.259400,0.259400,0.830081,31,31,0.306711
199,6.633333,-0.325688,0.325688,1.042200,25,25,0.290514
200,6.666667,-0.484536,0.484536,1.550515,44,44,0.390584
201,6.700000,-0.525547,0.525547,1.681749,32,32,0.217596
202,6.733333,-0.392878,0.392878,1.257210,29,29,0.144237
203,6.766667,-0.226226,0.226226,0.723922,46,46,0.169210
204,6.800000,-0.564026,0.564026,1.804883,37,37,0.452712
205,6.833333,-0.280802,0.280802,0.898566,32,32,0.309564
206,6.866667,-0.489669,0.489669,1.566940,46,46,0.344556
207,6.900000,-0.079892,0.079892,0.255654,36,36,0.151433
208,6.933333,0.131086,0.131086,0.419476,34,34,0.113693
209,6.966667,-0.133886,0.133886,0.428434,49,49,0.166822
210,7.000000,-0.321421,0.321421,1.028546,41,41,0.171294
211,7.033333,-0.444836,0.444836,1.423475,49,49,0.313350
212,7.066667,-0.003052,0.003052,0.009766,47,47,0.090527
213,7.100000,0.158959,0.158959,0.508669,46,46,0.243226
214,7.133333,0.272425,0.272425,0.871759,43,43,0.091550
215,7.166667,0.333555,0.333555,1.067376,40,40,0.104066
216,7.200000,0.163162,0.163162,0.522118,36,36,0.143014
217,7.233333,0.097268,0.097268,0.311257,32,32,0.117162
218,7.266667,0.215875,0.215875,0.690802,43,42,0.105436
219,7.300000,0.083481,0.083481,0.267140,38,37,0.076344
220,7.333333,-0.069466,0.069466,0.222291,35,34,0.074129
221,7.366667,-0.204228,0.204228,0.653531,46,46,0.105188
222,7.400000,-0.135620,0.135620,0.433983,37,37,0.062462
223,7.433333,-0.066481,0.066481,0.212739,34,34,0.087901
224,7.466667,-0.038856,0.038856,0.124339,44,43,0.040000
225,7.500000,-0.010193,0.010193,0.032617,43,43,0.043716
226,7.533333,-0.008754,0.008754,0.028014,43,43,0.048045
227,7.566667,-0.002425,0.002425,0.007760,43,43,0.007813
228,7.600000,-0.021539,0.021539,0.068923,43,43,0.024515
229,7.633333,-0.005447,0.005447,0.017430,42,42,0.022370
230,7.666667,-0.019411,0.019411,0.062114,41,41,0.033572
231,7.700000,-0.036186,0.036186,0.115795,39,39,0.030241
232,7.733333,-0.052313,0.052313,0.167402,37,37,0.044016
233,7.766667,-0.003415,0.003415,0.010927,49,49,0.012098
