frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,-0.200721,0.200721,0.642306,45,45,0.268267
1,0.033333,-0.389032,0.389032,1.244901,44,44,0.407652
2,0.066667,-0.324271,0.324271,1.037668,30,30,0.426667
3,0.100000,-0.239793,0.239793,0.767337,26,26,0.176038
4,0.133333,-0.247105,0.247105,0.790737,46,46,0.146851
5,0.166667,-0.259647,0.259647,0.830870,30,30,0.162641
6,0.200000,-0.241675,0.241675,0.773359,26,26,0.348462
7,0.233333,-0.078129,0.078129,0.250012,39,39,0.154276
8,0.266667,-0.083093,0.083093,0.265897,34,34,0.225143
9,0.300000,-0.084661,0.084661,0.270915,44,44,0.160648
10,0.333333,-0.111733,0.111733,0.357546,33,33,0.277486
11,0.366667,-0.391454,0.391454,1.252652,28,28,0.516788
12,0.400000,-0.455225,0.455225,1.456720,49,49,0.781879
13,0.433333,-0.444215,0.444215,1.421487,12,12,2.319395
14,0.466667,-0.135836,0.135836,0.434675,11,11,2.892116
15,0.500000,-0.180307,0.180307,0.576984,8,8,3.055817
16,0.533333,-1.401509,1.401509,4.484829,21,21,0.673520
17,0.566667,-1.076119,1.076119,3.443581,13,13,0.397122
18,0.600000,-0.706384,0.706384,2.260429,14,14,0.263659
19,0.633333,-1.136758,1.136758,3.637627,28,28,0.498308
20,0.666667,-1.324195,1.324195,4.237425,26,26,0.809118
21,0.700000,-0.997220,0.997220,3.191105,33,33,0.433857
22,0.733333,-0.570109,0.570109,1.824350,20,20,0.110987
23,0.766667,-0.527604,0.527604,1.688332,32,32,0.266707
24,0.800000,-0.019750,0.019750,0.063199,17,17,0.204206
25,0.833333,0.097767,0.097767,0.312855,35,35,0.142320
26,0.866667,0.189072,0.189072,0.605032,28,28,0.145382
27,0.900000,-0.588735,0.588735,1.883952,41,41,0.398805
28,0.933333,-0.675849,0.675849,2.162716,22,22,0.254846
29,0.966667,-0.529874,0.529874,1.695598,20,20,0.338258
30,1.000000,-0.545297,0.545297,1.744952,42,42,0.367221
31,1.033333,-0.610182,0.610182,1.952582,40,40,0.298663
32,1.066667,-0.287259,0.287259,0.919229,32,32,0.174871
33,1.100000,-0.321516,0.321516,1.028850,28,28,0.137423
34,1.133333,-0.173889,0.173889,0.556445,33,33,0.113920
35,1.166667,-0.034335,0.034335,0.109872,23,23,0.066902
36,1.200000,-0.030291,0.030291,0.096931,36,36,0.055914
37,1.233333,-0.094853,0.094853,0.303529,29,29,0.060411
38,1.266667,-0.055232,0.055232,0.176744,40,40,0.049048
39,1.300000,-0.020764,0.020764,0.066445,33,33,0.026007
40,1.333333,-0.032088,0.032088,0.102682,32,32,0.045003
41,1.366667,-0.143706,0.143706,0.459860,45,45,0.128788
42,1.400000,-0.281225,0.281225,0.899919,36,36,0.157351
43,1.433333,-0.439469,0.439469,1.406300,35,35,0.109393
44,1.466667,-0.159876,0.159876,0.511602,44,44,0.185781
45,1.500000,-0.155737,0.155737,0.498358,37,37,0.113124
46,1.533333,-0.078436,0.078436,0.250994,35,35,0.068415
47,1.566667,-0.005330,0.005330,0.017057,47,47,0.023492
48,1.600000,0.010877,0.010877,0.034807,39,39,0.060435
49,1.633333,0.025078,0.025078,0.080251,37,37,0.034558
50,1.666667,0.027922,0.027922,0.089350,47,47,0.056436
51,1.700000,0.000542,0.000542,0.001736,41,41,0.023849
52,1.733333,-0.011127,0.011127,0.035605,41,41,0.018220
53,1.766667,-0.005757,0.005757,0.018423,40,40,0.051495
54,1.800000,-0.157858,0.157858,0.505146,37,37,0.131376
55,1.833333,-0.138775,0.138775,0.444079,33,33,0.114776
56,1.866667,-0.176010,0.176010,0.563233,47,47,0.104210
57,1.900000,-0.413609,0.413609,1.323548,44,44,0.286979
58,1.933333,-0.664278,0.664278,2.125690,32,32,0.363843
59,1.966667,-0.971246,0.971246,3.107989,16,16,0.508612
60,2.000000,-0.732781,0.732781,2.344898,36,36,1.049393
61,2.033333,-0.891016,0.891016,2.851250,37,37,0.521366
62,2.066667,-0.275903,0.275903,0.882891,12,12,0.699741
63,2.100000,-0.494770,0.494770,1.583263,41,41,6.151403
64,2.133333,-0.267127,0.267127,0.854806,14,14,0.667838
65,2.166667,-0.244988,0.244988,0.783962,10,10,0.800720
66,2.200000,-0.587946,0.587946,1.881427,26,26,0.546191
67,2.233333,-0.707111,0.707111,2.262756,12,12,0.360675
68,2.266667,-0.695011,0.695011,2.224036,27,27,1.004174
69,2.300000,-1.122038,1.122038,3.590522,14,14,1.239402
70,2.333333,-0.870116,0.870116,2.784372,25,25,0.868365
71,2.366667,-1.345117,1.345117,4.304374,7,7,0.256354
72,2.400000,-1.090488,1.090488,3.489561,33,33,0.751143
73,2.433333,-0.837620,0.837620,2.680384,17,17,0.158829
74,2.466667,-0.902506,0.902506,2.888021,42,42,0.385293
75,2.500000,-0.625174,0.625174,2.000555,15,15,1.165255
76,2.533333,-0.029125,0.029125,0.093199,11,11,0.042502
77,2.566667,-0.163970,0.163970,0.524703,48,48,0.205137
78,2.600000,-0.410497,0.410497,1.313591,36,36,0.186547
79,2.633333,-0.500700,0.500700,1.602239,31,31,0.178003
80,2.666667,-0.403661,0.403661,1.291715,47,47,0.117522
81,2.700000,-0.320826,0.320826,1.026642,37,37,0.280169
82,2.733333,-0.284722,0.284722,0.911109,32,32,0.170661
83,2.766667,-0.128314,0.128314,0.410603,49,49,0.132817
84,2.800000,-0.056824,0.056824,0.181837,41,41,0.071623
85,2.833333,0.001416,0.001416,0.004531,38,38,0.016658
86,2.866667,0.007948,0.007948,0.025433,38,38,0.038351
87,2.900000,0.017898,0.017898,0.057274,50,50,0.180551
88,2.933333,-0.067353,0.067353,0.215529,42,42,0.130664
89,2.966667,-0.247351,0.247351,0.791523,38,38,0.141480
90,3.000000,-0.366435,0.366435,1.172591,36,36,0.203023
91,3.033333,-0.182818,0.182818,0.585019,49,49,0.278123
92,3.066667,-0.320262,0.320262,1.024837,43,43,0.251225
93,3.100000,-0.317059,0.317059,1.014588,39,39,0.700845
94,3.133333,-0.452093,0.452093,1.446697,35,35,0.252185
95,3.166667,-0.368521,0.368521,1.179267,47,47,0.453412
96,3.200000,0.049016,0.049016,0.156851,38,38,0.907979
97,3.233333,0.144992,0.144992,0.463976,35,35,0.182425
