frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,0.002576,0.002576,0.008242,46,46,0.031423
1,0.033333,0.000154,0.000154,0.000492,45,45,0.010137
2,0.066667,-0.004082,0.004082,0.013061,44,44,0.016518
3,0.100000,-0.011901,0.011901,0.038084,33,33,0.021529
4,0.133333,-0.025561,0.025561,0.081795,26,26,0.014325
5,0.166667,-0.005888,0.005888,0.018843,46,46,0.016907
6,0.200000,-0.011651,0.011651,0.037284,40,40,0.022790
7,0.233333,0.000031,0.000031,0.000100,28,28,0.007867
8,0.266667,-0.003095,0.003095,0.009904,26,26,0.010013
9,0.300000,-0.004298,0.004298,0.013755,47,46,0.011864
10,0.333333,-0.003297,0.003297,0.010550,44,43,0.026352
11,0.366667,-0.000475,0.000475,0.001520,38,37,0.008044
12,0.400000,-0.007872,0.007872,0.025191,34,33,0.014537
13,0.433333,-0.000038,0.000038,0.000121,47,47,0.005850
14,0.466667,-0.013638,0.013638,0.043641,46,46,0.024892
15,0.500000,-0.023102,0.023102,0.073928,40,40,0.038955
16,0.533333,-0.020581,0.020581,0.065859,37,37,0.021540
17,0.566667,-0.000818,0.000818,0.002618,36,36,0.007903
18,0.600000,0.001466,0.001466,0.004690,49,49,0.018679
19,0.633333,0.001585,0.001585,0.005071,43,43,0.007359
20,0.666667,-0.002136,0.002136,0.006834,39,39,0.017794
21,0.700000,-0.002414,0.002414,0.007723,36,36,0.005034
22,0.733333,-0.022187,0.022187,0.071000,46,46,0.014616
23,0.766667,-0.015342,0.015342,0.049095,40,40,0.027999
24,0.800000,-0.018663,0.018663,0.059723,34,34,0.012775
25,0.833333,-0.001253,0.001253,0.004010,33,33,0.007405
26,0.866667,-0.022972,0.022972,0.073509,50,50,0.025671
27,0.900000,-0.022028,0.022028,0.070488,40,40,0.024804
28,0.933333,0.001425,0.001425,0.004561,36,36,0.017222
29,0.966667,0.004456,0.004456,0.014261,36,36,0.008192
30,1.000000,0.005014,0.005014,0.016045,47,47,0.018842
31,1.033333,0.000129,0.000129,0.000412,49,49,0.004941
32,1.066667,-0.014552,0.014552,0.046567,47,47,0.015253
33,1.100000,-0.018415,0.018415,0.058930,44,44,0.020609
34,1.133333,-0.010191,0.010191,0.032611,44,44,0.016116
35,1.166667,0.000655,0.000655,0.002096,43,43,0.009690
36,1.200000,-0.003229,0.003229,0.010334,43,43,0.021628
37,1.233333,-0.002697,0.002697,0.008629,42,42,0.010022
38,1.266667,-0.008654,0.008654,0.027692,42,42,0.026430
39,1.300000,0.000199,0.000199,0.000638,38,38,0.015408
40,1.333333,-0.007296,0.007296,0.023348,37,37,0.015943
41,1.366667,-0.000212,0.000212,0.000680,48,47,0.004206
42,1.400000,-0.008205,0.008205,0.026257,47,46,0.010674
43,1.433333,-0.004337,0.004337,0.013879,42,41,0.009553
44,1.466667,-0.008148,0.008148,0.026073,41,40,0.017415
45,1.500000,-0.004569,0.004569,0.014621,40,39,0.008893
46,1.533333,-0.005556,0.005556,0.017779,39,38,0.008706
47,1.566667,-0.002539,0.002539,0.008126,39,38,0.008925
48,1.600000,-0.017903,0.017903,0.057288,46,46,0.025227
49,1.633333,-0.015126,0.015126,0.048402,40,40,0.041297
50,1.666667,-0.062258,0.062258,0.199225,37,37,0.071025
51,1.700000,-0.579632,0.579632,1.854822,35,35,0.343316
52,1.733333,-0.693718,0.693718,2.219898,40,40,0.292903
53,1.766667,-1.118592,1.118592,3.579496,34,34,0.280780
54,1.800000,-0.849453,0.849453,2.718249,21,21,0.291256
55,1.833333,-0.832874,0.832874,2.665198,43,43,0.516404
56,1.866667,-1.306744,1.306744,4.181579,11,11,0.167853
57,1.900000,-1.534000,1.534000,4.908800,6,6,0.098132
58,1.933333,-0.268584,0.268584,0.859467,43,43,0.434474
59,1.966667,-0.074379,0.074379,0.238013,31,31,0.363789
60,2.000000,-0.226953,0.226953,0.726249,30,30,0.499171
61,2.033333,-0.353400,0.353400,1.130880,26,26,0.623701
62,2.066667,-0.705699,0.705699,2.258238,20,20,0.479555
63,2.100000,-0.873903,0.873903,2.796490,40,40,7.014533
64,2.133333,-0.446973,0.446973,1.430314,17,17,0.369318
65,2.166667,-0.147330,0.147330,0.471457,12,12,0.299107
66,2.200000,0.358730,0.358730,1.147937,49,48,0.407015
67,2.233333,0.419453,0.419453,1.342249,41,41,0.162332
68,2.266667,-0.132187,0.132187,0.422997,37,37,0.146416
69,2.300000,-0.120055,0.120055,0.384177,36,36,0.113034
70,2.333333,-0.034956,0.034956,0.111860,45,45,0.212281
71,2.366667,-0.192453,0.192453,0.615851,38,38,0.233783
72,2.400000,-0.475209,0.475209,1.520670,37,37,0.327369
73,2.433333,-0.350216,0.350216,1.120690,50,50,0.279334
74,2.466667,-0.382206,0.382206,1.223059,43,43,0.378433
75,2.500000,-0.315957,0.315957,1.011061,39,39,0.176470
76,2.533333,-0.166071,0.166071,0.531428,39,39,0.111828
77,2.566667,-0.378710,0.378710,1.211872,49,49,0.204201
78,2.600000,-0.515011,0.515011,1.648036,34,34,0.183738
79,2.633333,-0.566429,0.566429,1.812574,31,31,0.224436
80,2.666667,-0.269515,0.269515,0.862448,48,48,0.272542
81,2.700000,-0.082317,0.082317,0.263414,35,35,0.145349
82,2.733333,-0.445374,0.445374,1.425198,32,32,0.426612
83,2.766667,-0.433825,0.433825,1.388241,48,48,0.237505
84,2.800000,-0.324818,0.324818,1.039418,43,43,0.178879
85,2.833333,-0.250639,0.250639,0.802046,38,38,0.163588
